Name,Gender,Age,Email,Salary,Job_Title,Department,Join_Date
,Female,53,,48004.128729933975,Engineer,Finance,2029-08-26
,M,66,user1@example.com,66885.18176554445,Engineer  ,hr,2016-06-26
NaN,F,43,user2@example.com,27592.55538178639,DataScientist,HR,2026-05-10
John,Other,29,user3@example.com,39259.158188990084,Engineer,hr,2034-12-10
J@ne,Other,57,user4@example.com,40930.58332097405,,Finance,2022-05-22
Jane,M,22,user5@example.com,49535.74028102098,Manager,fin,2032-12-12
Chris,Female,35,user6@example.com,57601.01993730257,doctor,IT,2016-12-04
null,Other,53,user7@example.com,46989.305774940745,doctor,hr,2046-01-21
J@ne,Female,999,user8@example.com,36409.46308246588,Teacher,,2030-11-24
Jane,,33,user9@example.com,64622.754270441954,Engineer,HR,2032-09-12
null,M,37,,46468.149166929594,Manager,,2045-08-06
Chris,Unknown,25,user11@example.com,51531.9338130655,doctor,Sales,2023-08-27
,Female,25,user12@example.com,58266.016182138614,,Sales,2034-01-22
NaN,,38,user13@example.com,50583.1641188442,Teacher,Sales,2046-04-15
Alice,,67,user14@example.com,50649.07542116435,Engineer,hr,2039-05-01
Alice,,50,user15@example.com,65457.10130653744,Teacher,IT,2032-10-31
,Female,54,user16@example.com,52270.54211855565,Engineer,hr,2040-07-08
J@ne,,38,user17@example.com,62941.954786857335,manager,Ops,2020-03-08
,Female,17,user18@example.com,58170.01166477585,manager,,2046-06-24
,Other,36,user19@example.com,80253.31316280374,  teacher,,2028-08-06
Jane,Male,67,,56141.20126803695,DataScientist,,2014-10-26
Jane,,16,user21@example.com,59569.59905226159,Teacher,,2039-07-03
Chris,F,38,user22@example.com,66524.85070994552,  teacher,Finance,2024-02-11
NaN,Female,58,user23@example.com,50954.26639925255,Teacher,SALES,2016-06-19
Jane,Female,44,user24@example.com,40432.20354905839,doctor,Ops,2040-08-05
Chris,Female,52,user25@example.com,42887.816283148146,Engineer  ,HR,2017-04-09
,Male,16,user26@example.com,43032.39611746268,Teacher,,2014-08-17
,,35,user27@example.com,35745.03547704923,doctor,Sales,2046-10-21
,,47,user28@example.com,54767.07753802826,Manager,hr,2046-02-11
J@ne,Unknown,26,user29@example.com,40557.25177926374,manager,Finance,2016-02-28
